UO ID,Sample ,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,ref std
T406,27,24:2SPM,6.62E+04,6.37E+04,1.0389,13.16,384.4,24:1SPM
T407,28,24:2SPM,8.26E+04,7.00E+04,1.1795,13.02,436.2,24:1SPM
T408,29,24:2SPM,8.03E+04,7.15E+04,1.1235,13.22,415.6,24:1SPM
T500,30,24:2SPM,1.80E+05,6.63E+04,2.7226,13.05,1005.6,24:1SPM
T501,31,24:2SPM,1.47E+05,7.02E+04,2.0941,13.19,773.7,24:1SPM
T502,32,24:2SPM,1.18E+05,7.14E+04,1.6586,13.09,613.0,24:1SPM
T503,33,24:2SPM,1.47E+05,7.61E+04,1.929,13.21,712.8,24:1SPM
T504,34,24:2SPM,1.59E+05,6.84E+04,2.3151,13.12,855.3,24:1SPM
T505,35,24:2SPM,1.55E+05,7.00E+04,2.2123,13.05,817.3,24:1SPM
T506,36,24:2SPM,1.64E+05,7.35E+04,2.2336,13.05,825.2,24:1SPM
T101,1,24:3SPM,1.13E+04,7.17E+04,0.1583,13.05,59.4,24:1SPM
T103,2,24:3SPM,1.45E+04,5.98E+04,0.2417,13.2,90.2,24:1SPM
T104,3,24:3SPM,1.51E+04,4.80E+04,0.3138,13.02,116.8,24:1SPM
T105,4,24:3SPM,1.44E+04,8.09E+04,0.1783,13.06,66.8,24:1SPM
T106,5,24:3SPM,1.72E+04,6.49E+04,0.2656,13.22,99.0,24:1SPM
T107,6,24:3SPM,1.72E+04,5.75E+04,0.2981,13.22,111.0,24:1SPM
T108,7,24:3SPM,1.77E+04,5.31E+04,0.3337,13.24,124.1,24:1SPM
T109,8,24:3SPM,1.61E+04,6.09E+04,0.2635,13.24,98.2,24:1SPM
T201,9,24:3SPM,1.65E+03,5.57E+04,0.0296,13.13,11.9,24:1SPM
T202,10,24:3SPM,8.87E+03,6.17E+04,0.1438,13.08,54.1,24:1SPM
T203,11,24:3SPM,7.24E+03,6.29E+04,0.1151,13.01,43.5,24:1SPM
T204,12,24:3SPM,8.08E+03,6.55E+04,0.1234,13.07,46.5,24:1SPM
T205,13,24:3SPM,5.18E+03,6.09E+04,0.085,13.09,32.4,24:1SPM
T304,14,24:3SPM,2.10E+04,6.49E+04,0.3235,13.08,120.4,24:1SPM
T305,15,24:3SPM,1.39E+04,7.85E+04,0.1773,13.09,66.4,24:1SPM
T306,16,24:3SPM,2.40E+04,6.62E+04,0.3624,13.1,134.7,24:1SPM
T307,17,24:3SPM,1.87E+04,8.42E+04,0.2223,13.1,83.0,24:1SPM
T308,18,24:3SPM,1.40E+04,7.58E+04,0.1846,13.07,69.1,24:1SPM
T309,19,24:3SPM,1.46E+04,6.81E+04,0.2143,13.08,80.1,24:1SPM
T311,20,24:3SPM,1.70E+04,6.08E+04,0.2803,13.09,104.4,24:1SPM
T312,21,24:3SPM,1.67E+04,6.67E+04,0.2505,13.11,93.4,24:1SPM
T400,22,24:3SPM,5.91E+03,5.57E+04,0.1059,13.09,40.1,24:1SPM
T401,23,24:3SPM,4.20E+03,6.60E+04,0.0637,13.06,24.5,24:1SPM
T402,24,24:3SPM,3.88E+03,5.91E+04,0.0656,13.07,25.2,24:1SPM
T404,25,24:3SPM,4.80E+03,7.07E+04,0.0679,13.09,26.1,24:1SPM
T405,26,24:3SPM,5.19E+03,6.66E+04,0.0779,13.08,29.7,24:1SPM
T406,27,24:3SPM,6.12E+03,6.37E+04,0.096,13.23,36.4,24:1SPM
T407,28,24:3SPM,7.08E+03,7.00E+04,0.1011,13.08,38.3,24:1SPM
T408,29,24:3SPM,7.71E+03,7.15E+04,0.1078,13.27,40.8,24:1SPM
T500,30,24:3SPM,1.64E+04,6.63E+04,0.247,13.11,92.1,24:1SPM
T501,31,24:3SPM,2.10E+04,7.02E+04,0.2995,13.24,111.5,24:1SPM
T502,32,24:3SPM,1.18E+04,7.14E+04,0.1656,13.13,62.1,24:1SPM
T503,33,24:3SPM,1.54E+04,7.61E+04,0.203,13.26,75.9,24:1SPM
T504,34,24:3SPM,1.72E+04,6.84E+04,0.2517,13.16,93.9,24:1SPM
T505,35,24:3SPM,1.80E+04,7.00E+04,0.2572,13.1,95.9,24:1SPM
T506,36,24:3SPM,1.79E+04,7.35E+04,0.2441,13.1,91.1,24:1SPM
T101,1,24:4SPM,3.73E+04,7.17E+04,0.5209,13.21,193.2,24:1SPM
T103,2,24:4SPM,3.74E+04,5.98E+04,0.6256,13.36,231.8,24:1SPM
T104,3,24:4SPM,3.75E+04,4.80E+04,0.7824,13.18,289.7,24:1SPM
T105,4,24:4SPM,3.69E+04,8.09E+04,0.4558,13.21,169.2,24:1SPM
T106,5,24:4SPM,3.02E+04,6.49E+04,0.465,13.38,172.6,24:1SPM
T107,6,24:4SPM,1.91E+03,5.75E+04,0.0331,13.06,13.2,24:1SPM
T108,7,24:4SPM,1.09E+04,5.31E+04,0.2044,13.36,76.4,24:1SPM
T109,8,24:4SPM,3.47E+03,6.09E+04,0.0569,13.35,22.0,24:1SPM
T201,9,24:4SPM,7.66E+03,5.57E+04,0.1374,13.42,51.7,24:1SPM
T202,10,24:4SPM,1.88E+04,6.17E+04,0.3039,13.22,113.1,24:1SPM
T203,11,24:4SPM,2.84E+04,6.29E+04,0.4512,13.14,167.5,24:1SPM
