UO ID	Sample	14:0/16:0	14:0/16:1	14:0/18:0	14:0/18:1	16:0/16:1	16:0/18:0	16:0/18:1	16:0/18:2	16:0/20:1	16:0/20:2	16:0/20:3	16:0/20:4	16:0/22:6	16:1/18:1	18:0/16:1	18:0/18:1	18:0/18:2	18:0/18:3	18:0/20:4	18:0/22:6	18:2/18:1	di14:0	di16:0	di16:1	di18:0	di18:1	di18:2
T311	20	39.8	1.2	0	34.4	48.1	195.2	697.1	1295.8	13.2	19.1	12.8	34.5	54.7	33.4	24.3	241.8	550.6	17.2	3332.7	126.3	590.7	2.2	215.2	1.7	49.6	354.4	590.3
T312	21	48	1.7	3.5	20.9	18.2	147.3	598.9	887.4	2.5	15.7	17.8	32.1	56	21.1	15.1	111.3	570.6	17	2232.5	65.3	424	1.1	203.1	1.1	19.4	141.8	425.2
T400	22	155.2	17.7	16.5	100.7	88.1	280.8	1525.8	819.6	18.4	34.2	13.9	109.7	69.1	78.5	53.7	326.2	305.3	12.4	2327.8	42.4	662.3	5.8	275.8	2.6	34.6	645.8	1059.5
T401	23	90.8	2.9	19.8	108.6	85	213.7	1230.7	825.1	22.6	29.5	22.9	44.8	50.2	67.2	43.9	465.3	246	4.3	1381.9	7.3	436.6	4.6	295.9	2.9	58.4	693.2	200.3
T402	24	76.9	1.1	19.8	79.8	87.6	318.6	1748.8	629.4	24.6	23.5	12.5	51.9	18.7	84.7	55.1	521.1	330.8	-3.4	1518.7	12	560.4	3.3	297.6	1.8	103.1	1199.7	230.2
T404	25	134.7	21.1	12.7	111.4	122.3	240	1546.1	1260	16.7	17.2	16.7	36.2	24.8	87.4	57.9	369.1	253	9.3	1505.2	14.9	532.2	2.7	336.1	5.4	38	847.8	271.8
T405	26	108.6	7	16.5	157	177.1	147.9	1323.1	1280.8	20.4	15.6	23.7	75.8	268.1	130.9	66.7	480.3	388.6	9.1	1611.6	109	698	6.2	355	20.5	45.4	1042.2	487.2
T406	27	133.9	16.7	22	116.7	186.8	284.8	1646.4	1566.7	18.3	26.5	19.3	42	142.9	110.5	58.8	430.7	333	2.2	2428.4	81.4	614.3	1.7	644.3	6.1	50.1	979.7	438
T407	28	56.5	8.1	6	48.4	81.1	111.4	696.2	605.1	6.9	15	16.3	32.7	213.5	73.1	45.1	148.4	213.8	-0.4	922.4	83	237.8	0.7	228.9	20.1	19.4	268.6	105.1
T408	29	110.2	5.9	18.1	101.3	218.1	319	1953.2	1200.1	25.9	39.8	22	67.2	137	187.7	116.6	522.9	229.2	0.5	1411.6	35.8	558.1	3.8	405.6	33.1	47.5	1062	224.3
T500	30	30	5.8	1.3	21.7	30.7	112.3	507.7	591.2	3.6	14.1	7.3	1.9	92	28.1	15.3	149.2	320.8	5	1226	59.7	288.7	1.2	161.6	0.8	6.4	204.1	240.4
T501	31	31.5	1.2	3.7	12.4	34.8	178.1	606.9	762.3	5.3	17.5	11.9	39.2	70	18.4	16.1	158	565.2	8.4	2016.6	128	337	0.6	256.5	1.2	31	141.5	279.2
T502	32	18.6	-0.1	0.9	15.2	17.5	213	785.4	875.7	6.5	30.1	12.2	41.4	39.2	12.4	5.3	204.8	402.5	8.6	894.6	60.5	412	1.1	187.6	-0.1	38	250.4	280.7
T503	33	28	0.1	1.2	11.9	25	147.3	498.7	586.5	1.8	13.6	9.5	44.6	45.7	19.2	15.9	110.7	315.6	7.3	1056.4	62.5	263.6	-0.4	183.7	0.1	26.4	160.4	229.2
T504	34	63.5	9.2	6.9	37.7	92.2	183.9	981.5	903.7	1.7	19.7	14.1	45.5	46.3	84.5	46.3	200.5	353.5	13	1021.7	41.6	510.3	0.3	211.2	12.8	63.5	308.4	408.1
T505	35	43	4	1.4	17.4	50.2	145.5	662.4	844.6	-0.5	17.9	17.9	29.1	51.5	29.5	19.5	122.7	331.1	5.8	1535.3	99.5	282.9	1	271.6	5.5	22.4	152.6	176.6
T506	36	37.8	5.3	4.1	18.8	37.3	146.4	601.7	656.5	2.4	19.6	20.6	43.5	49.6	27.3	21.1	122.6	325	11.5	1776.7	57.3	302.1	0.6	230	0.8	35.4	151	197.7
