UO ID,Sample Name,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,,,
T309,19,10:0AC,6.72E+03,7.23E+04,0.093,15.07,15.7,,,
T309,19,12:0 AC,3.77E+03,7.23E+04,0.0521,14.63,9.9,,,
T309,19,14:0 AC,1.21E+04,7.23E+04,0.1676,14.27,26.4,,,
T309,19,16:0 AC,9.72E+04,7.23E+04,1.344,13.98,193.9,,,
T309,19,16:1 AC,1.61E+04,7.23E+04,0.223,14.08,34.3,,,
T309,19,18:0 AC,7.28E+04,7.23E+04,1.007,13.75,145.9,,,
T309,19,18:1 AC,8.02E+04,7.23E+04,1.1097,13.85,160.6,,,
T309,19,18:2 AC,5.28E+04,7.23E+04,0.731,13.98,106.6,,,
T309,19,18:3 AC,4.48E+03,7.23E+04,0.0619,14.08,11.3,,,
T309,19,4:0AC,2.56E+03,7.23E+04,0.0354,24.33,7.5,,,
T309,19,6:0AC,2.44E+03,7.23E+04,0.0338,17.89,7.3,,,
T309,19,8:0AC,3.43E+03,7.23E+04,0.0474,15.97,9.2,,,
T311,20,10:0AC,3.67E+03,6.55E+04,0.056,15.19,10.5,,,
T311,20,12:0 AC,1.53E+03,6.55E+04,0.0234,14.61,5.8,,,
T311,20,14:0 AC,4.58E+03,6.55E+04,0.07,14.31,12.5,,,
T311,20,16:0 AC,3.41E+04,6.55E+04,0.521,13.99,76.7,,,
T311,20,16:1 AC,5.19E+03,6.55E+04,0.0793,14.09,13.8,,,
T311,20,18:0 AC,3.63E+04,6.55E+04,0.5552,13.76,81.6,,,
T311,20,18:1 AC,3.47E+04,6.55E+04,0.5303,13.85,78.0,,,
T311,20,18:2 AC,1.77E+04,6.55E+04,0.2706,13.99,41.0,,,
T311,20,18:3 AC,1.12E+03,6.55E+04,0.0172,14.12,4.9,,,
T311,20,4:0AC,5.70E+03,6.55E+04,0.0871,24.22,14.9,,,
T311,20,6:0AC,3.16E+03,6.55E+04,0.0482,17.92,9.4,,,
T311,20,8:0AC,4.60E+03,6.55E+04,0.0702,15.99,12.5,,,
T312,21,10:0AC,1.22E+04,7.89E+04,0.1548,15.14,24.5,,,
T312,21,12:0 AC,7.23E+03,7.89E+04,0.0916,14.64,15.5,,,
T312,21,14:0 AC,1.52E+04,7.89E+04,0.1922,14.29,29.9,,,
T312,21,16:0 AC,1.10E+05,7.89E+04,1.3951,14,201.2,,,
T312,21,16:1 AC,2.76E+04,7.89E+04,0.3496,14.11,52.3,,,
T312,21,18:0 AC,9.57E+04,7.89E+04,1.2127,13.78,175.2,,,
T312,21,18:1 AC,1.18E+05,7.89E+04,1.4952,13.86,215.5,,,
T312,21,18:2 AC,7.52E+04,7.89E+04,0.9534,14.01,138.3,,,
T312,21,18:3 AC,5.40E+03,7.89E+04,0.0684,14.13,12.2,,,
T312,21,4:0AC,1.23E+03,7.89E+04,0.0155,24.18,4.7,,,
T312,21,6:0AC,3.97E+03,7.89E+04,0.0503,17.94,9.6,,,
T312,21,8:0AC,1.24E+04,7.89E+04,0.1574,15.99,24.9,,,
T400,22,10:0AC,3.96E+04,4.96E+04,0.799,15.16,116.3,,,
T400,22,14:0 AC,8.56E+04,4.96E+04,1.7258,14.32,248.3,,,
T400,22,16:0 AC,4.63E+05,4.96E+04,9.3447,14,1333.6,,,
T400,22,16:1 AC,1.31E+05,4.96E+04,2.6364,14.11,378.0,,,
T400,22,18:0 AC,2.56E+05,4.96E+04,5.1628,13.76,737.9,,,
T400,22,18:1 AC,7.07E+05,4.96E+04,14.2633,13.86,2034.3,,,
T400,22,18:2 AC,2.24E+05,4.96E+04,4.5206,14.01,646.4,,,
T400,22,18:3 AC,9.26E+03,4.96E+04,0.1869,14.13,29.1,,,
T400,22,4:0AC,2.22E+03,4.96E+04,0.0448,24.18,8.9,,,
T400,22,6:0AC,8.65E+03,4.96E+04,0.1746,17.84,27.4,,,
T400,22,8:0AC,3.16E+04,4.96E+04,0.6367,15.99,93.2,,,
T401,23,10:0AC,3.46E+04,6.31E+04,0.5485,15.12,80.6,,,
T400,22,12:0 AC,2.96E+04,4.96E+04,0.5977,14.67,87.6,,,
T401,23,12:0 AC,2.53E+04,6.31E+04,0.4,14.62,59.5,,,
T401,23,14:0 AC,8.46E+04,6.31E+04,1.3405,14.27,193.4,,,
T401,23,16:0 AC,4.55E+05,6.31E+04,7.2121,13.96,1029.8,,,
T401,23,16:1 AC,1.14E+05,6.31E+04,1.8077,14.08,260.0,,,
T401,23,18:0 AC,2.48E+05,6.31E+04,3.9327,13.73,562.7,,,
T401,23,18:1 AC,7.50E+05,6.31E+04,11.8896,13.83,1696.2,,,
T401,23,18:2 AC,2.12E+05,6.31E+04,3.3629,13.98,481.5,,,
T401,23,18:3 AC,5.40E+03,6.31E+04,0.0855,14.11,14.7,,,
T401,23,4:0AC,1.21E+03,6.31E+04,0.0192,24.29,5.2,,,
T401,23,6:0AC,4.58E+03,6.31E+04,0.0726,17.93,12.8,,,
T401,23,8:0AC,1.70E+04,6.31E+04,0.2701,16,41.0,,,
T402,24,10:0AC,7.94E+03,6.77E+04,0.1173,15.2,19.2,,,
T402,24,12:0 AC,4.78E+03,6.77E+04,0.0707,14.66,12.6,,,
T402,24,14:0 AC,1.24E+04,6.77E+04,0.1834,14.31,28.6,,,
T402,24,16:0 AC,6.35E+04,6.77E+04,0.9383,14.01,136.1,,,
T402,24,16:1 AC,1.69E+04,6.77E+04,0.2496,14.12,38.0,,,
T402,24,18:0 AC,6.17E+04,6.77E+04,0.911,13.77,132.3,,,
T402,24,18:1 AC,1.22E+05,6.77E+04,1.7972,13.87,258.5,,,
T402,24,18:2 AC,3.47E+04,6.77E+04,0.5127,14.01,75.5,,,
